seeking_computing_required,seeking_computing_skills,seeking_computing_career_advance,seeking_computing_career_change,seeking_computing_develop,seeking_computing_job,seeking_computing_relocation,seeking_computing_certification,seeking_comuputing_financial,seeking_computing_personal,seeking_computing_curiosity,gender,course,degree,interest,age,decision_cost,decision_location,decision_programs,decision_online,decision_referral,decision_faculty,decision_reputation,decision_scholarships,decision_transfer,decision_class,decision_extracurricular,website,billboard,tv,socials,radio,community,family,employer,attendee,alumni,high_school
Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Man,CMP 135 Computer Concepts with Applications,Engineering Science,2,19-20,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes
Yes,No,No,No,No,No,No,No,No,No,No,Woman,CMP 135 Computer Concepts with Applications,Radiography,3,18 and younger,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,Yes
Yes,No,No,No,No,No,No,No,No,No,No,Man,CMP 135 Computer Concepts with Applications,Engineering Science,2,19-20,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,No
Yes,Yes,No,No,Yes,No,No,No,No,No,No,Man,CMP 135 Computer Concepts with Applications,Radiography,2,25-34,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,No,No,No,No,Yes
Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Man,CMP 101 Computer Information Literacy,Radiography,3,25-34,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,No
Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Woman,CMP 135 Computer Concepts with Applications,Radiography,5,19-20,Some Impact,Some Impact,High Impact,High Impact,No Impact,,,,Some Impact,,,Yes,No,No,No,No,No,No,No,Yes,No,Yes
Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Man,CMP 135 Computer Concepts with Applications,Music Technology,2,18 and younger,High Impact,Some Impact,High Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,No
Yes,No,No,No,Yes,No,No,No,No,Yes,No,Woman,CMP 135 Computer Concepts with Applications,Nursing,2,19-20,High Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes
Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Man,CMP 135 Computer Concepts with Applications,Engineering Science,2,19-20,High Impact,High Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,No,No,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Man,CMP 135 Computer Concepts with Applications,Radiography,3,25-34,High Impact,Some Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes
