seeking_computing_required,seeking_computing_skills,seeking_computing_career_advance,seeking_computing_career_change,seeking_computing_develop,seeking_computing_job,seeking_computing_relocation,seeking_computing_certification,seeking_comuputing_financial,seeking_computing_personal,seeking_computing_curiosity,gender,course,degree,interest,age,decision_cost,decision_location,decision_programs,decision_online,decision_referral,decision_faculty,decision_reputation,decision_scholarships,decision_transfer,decision_class,decision_extracurricular,website,billboard,tv,socials,radio,community,family,employer,attendee,alumni,high_school
Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Woman,CMP 135 Computer Concepts with Applications,Radiography,4,19-20,High Impact,High Impact,High Impact,No Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,High Impact,No,No,No,No,No,No,Yes,No,No,Yes,No
Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Man,CMP 135 Computer Concepts with Applications,Radiography,1,19-20,Some Impact,Some Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,Yes,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Woman,CMP 101 Computer Information Literacy,Biology,4,19-20,High Impact,High Impact,High Impact,High Impact,,,,High Impact,No Impact,No Impact,High Impact,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes
Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Woman,CMP 135 Computer Concepts with Applications,Radiography,5,25-34,High Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,Yes,No,No,No,No,Yes,No,No,No,No,No
Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Man,CMP 126 Computer Technology and Applications,Criminal Justice,3,19-20,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No,No,No,No,No,No,Yes,No,No,No,No
Yes,No,No,No,Yes,No,No,No,No,No,No,Man,CMP 101 Computer Information Literacy,Liberal Arts,3,35-64,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,High Impact,No,No,No,No,No,No,No,Yes,No,Yes,No
Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Woman,CMP 126 Computer Technology and Applications,Broadcasting Arts and Technology,2,19-20,High Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,Yes,Yes
No,Yes,No,No,No,No,No,No,No,Yes,Yes,Woman,CMP 101 Computer Information Literacy,Liberal Arts,1,25-34,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Yes,No,No,No,No,No,No,No,No,No,No
Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Woman,CMP 101 Computer Information Literacy,Not in a degree program,3,18 and younger,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes
Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Man,CMP 126 Computer Technology and Applications,Criminal Justice,4,19-20,High Impact,Some Impact,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Man,CMP 126 Computer Technology and Applications,Culinary Arts and Sciences,3,21-24,Some Impact,High Impact,High Impact,Some Impact,No Impact,Some Impact,High Impact,No Impact,,Some Impact,High Impact,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes
Yes,Yes,No,No,Yes,No,No,No,No,No,No,Woman,CMP 135 Computer Concepts with Applications,Radiography,2,19-20,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,No,Yes,No,No,No,No,Yes,No,No,No,Yes
Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Woman,CMP 101 Computer Information Literacy,Nursing,3,21-24,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No
Yes,No,No,No,No,No,No,No,No,No,No,Prefer not to say,CMP 126 Computer Technology and Applications,Broadcasting Arts and Technology,1,19-20,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,No,No,Yes,No,No
Yes,Yes,Yes,No,No,No,No,No,No,No,No,Woman,CMP 126 Computer Technology and Applications,Liberal Arts,1,19-20,High Impact,High Impact,No Impact,No Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,High Impact,No Impact,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes
Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Woman,CMP 135 Computer Concepts with Applications,Radiography,2,25-34,Some Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,Yes,No,No,No,No,No,Yes,No,No,No,No
No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Man,CMP 126 Computer Technology and Applications,Liberal Arts,3,25-34,High Impact,High Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,Yes,No,No
Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Man,CMP 135 Computer Concepts with Applications,History Education,2,19-20,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,High Impact,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes
Yes,Yes,No,No,Yes,No,No,No,No,No,No,Woman,CMP 126 Computer Technology and Applications,Not in a degree program,3,19-20,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes
No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Man,CMP 126 Computer Technology and Applications,Biology - Environmental Track,3,19-20,High Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,No,No,No,No,No,No,Yes,No,No,Yes,Yes
Yes,No,No,No,No,No,No,No,No,No,No,Woman,CMP 101 Computer Information Literacy,Nursing,3,18 and younger,High Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Yes,No,No,No,No,No,Yes,No,No,No,Yes
Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Woman,CMP 126 Computer Technology and Applications,Liberal Arts,2,19-20,High Impact,Some Impact,High Impact,High Impact,Some Impact,No Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes
Yes,Yes,No,No,No,No,No,No,No,No,Yes,Woman,CMP 126 Computer Technology and Applications,Liberal Arts,2,19-20,High Impact,High Impact,No Impact,,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes
Yes,No,No,No,No,No,No,No,No,No,No,Woman,CMP 126 Computer Technology and Applications,Communication,1,19-20,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,Yes
Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Woman,CMP 101 Computer Information Literacy,Child and Family Studies,1,21-24,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,No,No,No,No,No,No,Yes,No,Yes,Yes,No
Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Woman,CMP 135 Computer Concepts with Applications,Radiography,3,21-24,Some Impact,High Impact,High Impact,,,Some Impact,High Impact,,,,,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes
Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Woman,CMP 126 Computer Technology and Applications,Musical Theatre,2,19-20,High Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,Some Impact,High Impact,No Impact,Some Impact,High Impact,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes
Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Woman,CMP 101 Computer Information Literacy,Nursing,3,19-20,High Impact,High Impact,High Impact,High Impact,High Impact,,,,,,,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes
Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Man,CMP 101 Computer Information Literacy,Liberal Arts,3,35-64,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes
No,No,No,No,No,No,No,No,No,No,No,Man,CMP 101 Computer Information Literacy,Liberal Arts,3,35-64,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes
Yes,No,No,No,No,No,No,No,No,No,No,Woman,CMP 126 Computer Technology and Applications,Liberal Arts,3,19-20,High Impact,High Impact,,Some Impact,Some Impact,,Some Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,Yes
Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Woman,CMP 126 Computer Technology and Applications,Early Childhood Education,4,25-34,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,High Impact,No Impact,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes
Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Woman,CMP 126 Computer Technology and Applications,Child and Family Studies,2,35-64,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Yes,No,No,Yes,No,No,No,No,No,No,No
Yes,No,No,Yes,Yes,No,No,No,No,No,No,Man,CMP 126 Computer Technology and Applications,Fire Science ,2,21-24,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,Yes
Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Man,CMP 126 Computer Technology and Applications,Criminal Justice,3,19-20,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,No Impact,High Impact,No,No,No,No,No,No,Yes,No,No,No,Yes
Yes,No,No,No,No,No,No,No,No,No,No,Woman,CMP 126 Computer Technology and Applications,Child and Family Studies,1,19-20,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes
Yes,No,Yes,No,Yes,No,No,No,No,No,No,Woman,CMP 126 Computer Technology and Applications,Child and Family Studies,1,19-20,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,High Impact,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes
Yes,No,No,No,No,No,No,No,No,No,No,Woman,CMP 126 Computer Technology and Applications,Liberal Arts,3,35-64,High Impact,High Impact,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Woman,CMP 126 Computer Technology and Applications,Nursing,5,25-34,High Impact,High Impact,High Impact,High Impact,,,High Impact,,,,,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No
